lat;lon;signal
5.4377311;-4.0143165;-79.0
5.4377455;-4.0142722;-76.7
5.4377524;-4.0142398;-83.3
5.4377548;-4.0142088;-81.7
5.4377934;-4.0141977;-76.7
5.4378169;-4.0142019;-79.0
5.4378293;-4.014201;-80.7
5.4378255;-4.0141922;-81.7
5.4378189;-4.0141916;-81.7
5.4378184;-4.0141917;-81.7
5.4377846;-4.0141993;-74.0
5.4377294;-4.0141891;-79.3
5.4376839;-4.0141882;-75.7
5.4376867;-4.0142197;-77.0
5.4376905;-4.014279;-78.0
5.4377067;-4.0143163;-86.0
5.4377267;-4.0143177;-79.0
5.4377218;-4.0142781;-79.7
5.4377188;-4.014245;-77.7
5.4377191;-4.0141914;-79.3
5.4377192;-4.0141456;-70.7
5.437708;-4.014122;-68.7
5.437705;-4.0141199;-68.7
5.4377142;-4.0141366;-65.3
5.437729;-4.0141511;-74.7
5.4377542;-4.0141644;-74.7
5.4377933;-4.0141565;-79.7
5.4378366;-4.0141485;-78.3
5.4378696;-4.0141514;-74.7
5.4378751;-4.0141317;-80.0
5.4378578;-4.0141117;-79.0
5.4378138;-4.0141063;-68.3
5.4377666;-4.0141051;-68.7
5.4377255;-4.0140973;-75.7
5.4377146;-4.0140823;-83.7
5.4377377;-4.014068;-82.7
5.4377804;-4.014061;-77.3
5.4378246;-4.0140631;-65.0
5.4378502;-4.0140725;-65.7
5.4378738;-4.0140831;-66.0
5.4378792;-4.0140641;-66.3
5.4378608;-4.014043;-66.3
5.4378147;-4.0140529;-69.7
5.4377703;-4.0140581;-77.3
5.4377353;-4.0140555;-83.0
5.4377187;-4.0140332;-84.3
5.4377217;-4.0139949;-85.3
5.4377273;-4.0139747;-80.3
5.4377439;-4.0139857;-85.0
5.4377894;-4.0139972;-82.0
5.4378342;-4.0140061;-72.7
5.4378628;-4.014021;-63.3
5.4378594;-4.0140409;-66.3
5.4378205;-4.0140401;-69.7
5.4377924;-4.0140342;-85.7
5.4377644;-4.0140331;-81.7
5.4377448;-4.0140371;-81.0
5.4377348;-4.0140392;-82.0
5.4377334;-4.0140108;-83.3
5.4377255;-4.0139748;-80.3
5.4377242;-4.0139406;-87.3
5.4377383;-4.0139177;-85.0
5.437758;-4.0139263;-84.7
5.4378119;-4.0139484;-79.0
5.4378382;-4.0139614;-76.0
5.4378421;-4.013949;-76.0
5.4378372;-4.0139333;-79.0
5.4377971;-4.0139256;-78.7
5.4377693;-4.0139175;-81.7
5.4377776;-4.0139287;-83.3
5.4377832;-4.0139725;-84.3
5.4377864;-4.014001;-82.0
5.4377991;-4.0140276;-86.7
5.4378036;-4.0140519;-68.3
5.4378128;-4.0140783;-65.3
5.4378258;-4.0141021;-68.3
5.4378377;-4.0141347;-79.3
5.4378275;-4.014151;-79.0
5.4378006;-4.0141389;-76.0
5.4377769;-4.0141101;-67.7
5.4377817;-4.0140881;-70.3
5.4378106;-4.014088;-63.7
5.4378177;-4.0140912;-63.3
5.4378183;-4.0140916;-63.3
5.4378183;-4.0140917;-63.3
5.4378457;-4.0140612;-67.3
5.4378434;-4.0140569;-67.3
5.4378433;-4.0140567;-67.3
5.4377986;-4.0140599;-67.3
5.4377711;-4.0141038;-68.7
5.4377499;-4.0141251;-67.3
5.4377666;-4.0141677;-73.0
5.4377762;-4.0142064;-77.7
5.4377778;-4.0142474;-81.7
5.4377797;-4.0142846;-80.3
